EVENTMSGTYPE,EVENTMSGACTIONTYPE,DESCRIPTION,,Inits,Inits mod,Inits mod 2
1,1,Jump Shot,,mga,,
1,3,Hook Shot,,mga,,
1,5,Layup,,mga,,
1,40,Layup,,mga,,
1,41,Running Layup,,mga,,
1,42,Driving Layup,,mga,,
1,43,Alley Oop Layup,,mga,,
1,46,Running Jump Shot,,mga,,
1,47,Turnaround Jump Shot,,mga,,
1,49,Driving Dunk,,mga,,
1,50,Running Dunk,,mga,,
1,57,Driving Hook Shot,,mga,,
1,58,Turnaround Hook Shot,,mga,,
1,63,Fadeaway Jumper,,mga,,
1,66,Jump Bank Shot,,mga,,
1,72,Putback Layup,,mga,,
1,73,Driving Reverse Layup,,mga,,
1,76,Running Finger Roll Layup,,mga,,
1,78,Floating Jump Shot,,mga,,
1,79,Pullup Jump Shot,,mga,,
1,80,Step Back Jump Shot,,mga,,
1,82,Driving Bank Shot,,mga,,
1,86,Turnaround Fadeaway,,mga,,
1,97,Tip Layup Shot,,mga,,
1,98,Cutting Layup Shot,,mga,,
1,108,Cutting Dunk Shot,,mga,,
2,1,Jump Shot,,mga,,
2,3,Hook Shot,,mga,,
2,5,Layup,,mga,,
2,7,Dunk,,mga,,
2,41,Running Layup,,mga,,
2,42,Driving Layup,,mga,,
2,45,,,,,
2,47,Turnaround Jump Shot,,mga,,
2,58,Turnaround Hook Shot,,mga,,
2,63,Fadeaway Jumper,,mga,,
2,78,Floating Jump Shot,,mga,,
2,79,Pullup Jump Shot,,mga,,
2,80,Step Back Jump Shot,,mga,,
2,86,Turnaround Fadeaway,,mga,,
2,97,Tip Layup Shot,,mga,,
3,10,Free Throw 1 of 1,,mga,,
3,11,Free Throw 1 of 2,,mga,,
3,12,Free Throw 2 of 2,,mga,,
3,13,Free Throw 1 of 3,,mga,,
3,14,Free Throw 2 of 3,,mga,,
3,15,Free Throw 3 of 3,,mga,,
3,16,Tech Free Throw,,Matt Femrite,,
3,17,Clear Path,,,,
3,18,Flagrant 1 of 2,,Matt Femrite,,
3,19,Flagrant 2 of 2,,Matt Femrite,,
3,20,Flagrant 1 of 1,,Matt Femrite,,
3,25,Clear Path 1 of 2,,Matt Femrite,,
3,26,Clear Path 2 of 2,,Matt Femrite,,
3,27,Flagrant 1 of 3,,jb,,
3,28,Flagrant 2 of 3,,jb,,
3,29,Flagrant 3 of 3,,jb,,
3,39,Flagrant 3 of 3,,Krishna,,
4,0,Rebound Offensive,,mga,,
4,1,Rebound Defensive,,mga,,
4,3,?????,,Krishna,,
4,45,?????,,Krishna,,
5,1,Steal Bad Pass Turnover,,mga,,
5,2,Steal Lost Ball Turnover,,mga,,
5,4,Traveling Turnover,,Matt femrite,,
5,5,Foul Turnover,,mga,,
5,6,Double Dribble Turnover,,Matt femrite,,
5,7,Discontinue Dribble Turnover,,Matt femrite,,
5,8,3 Second Violation Turnover,,Matt femrite,,
5,9,5 Second Violation Turnover (Back to Basket),,Matt femrite,,
5,10,8 Second Violation Turnover,,Matt femrite,,
5,11,Shot Clock Violation Turnover,,Matt femrite,,
5,12,Inbound Turnover,,Matt femrite,,
5,13,Backcourt Turnover,,Matt femrite,,
5,15,Offensive Goaltending Turnover,,Matt femrite,,
5,17,Lane Violation Turnover,,Matt femrite,,
5,18,JUMP BALL Violation Turnover,,Matt femrite,,
5,19,Kicked Ball Violation Turnover,,Matt femrite,,
5,21,Palming Turnover,,Matt femrite,,
5,33,Punched Ball Turnover,,Bo Schwartz,,
5,36,Double Personal Turnover,,Matt femrite,,
5,37,Offensive Foul Turnover,,Matt femrite,,
5,38,5 Second Inbound Turnover,,Matt femrite,,
5,39,Step Out of Bounds Turnover,,mga,,
5,40,Out of Bounds Lost Ball Turnover,,Matt femrite,,
5,41,Poss Lost Ball,,Matt femrite,,
5,42,Team Turnover...?,,Matt femrite,,
5,43,Player Out of Bounds Violation (catching pass after being out of bounds?),,Matt femrite,,
5,44,Too Many Players,,Krishna,,
5,45,Out of Bounds Bad Pass Turnover,,mga,,
6,1,Personal Foul,,mga,,
6,2,Shooting Foul,,mga,,
6,3,Loose Ball Foul,,mga,,
6,4,Offensive Foul,,mga,,
6,5,Intentional,,justin,,
6,6,Away From Play,,justin,,
6,9,Clear Path,,justin,,
6,10,Double Tech,,seth,,
6,11,Tech,,justin,,
6,12,NonUnsportsmanlike,,justin,,
6,13,Tech Hanging,,justin,,
6,14,Flagrant 1,,justin,,
6,15,Flagrant 2,,justin,,
6,17,Tech 3Sec,,justin,,
6,19,Taunting,,justin,,
6,25,Excess Timeout,,matt femrite,,
6,26,Charge,,justin,,
6,27,Block,,justin,,
6,28,Personal Take Foul,,mga,,
6,29,Shooting Block,,justin,,
7,1,Delay of Game Violation,,krishna,,
7,2,Defensive Goaltending,,krishna,,
7,3,Lane Violation,,krishna,,
7,4,Jump Ball Violation,,krishna,,
7,5,Violation Kicked Ball,,mga,,
7,6,Double Lane Violation,,krishna,,
8,0,Substitution,,mga,,
9,1,Timeout Regular,,mga,,
9,2,Timeout Short,,mga,,
9,4,Timeout (Official Timeout),,,,
10,0,Jump Ball,,mga,,
12,0,Start of Period,,mga,,
13,0,End of Period,,mga,,
18,0,,,,,
18,1,,,,,
